Label,Region1,Region2
X435,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_3
X436,LH_Vis_1,LH_Limbic_OFC_1
X437,LH_Vis_2,LH_Limbic_OFC_1
X438,LH_Vis_3,LH_Limbic_OFC_1
X439,LH_Vis_4,LH_Limbic_OFC_1
X440,LH_Vis_5,LH_Limbic_OFC_1
X441,LH_Vis_6,LH_Limbic_OFC_1
X442,LH_Vis_7,LH_Limbic_OFC_1
X443,LH_Vis_8,LH_Limbic_OFC_1
X444,LH_Vis_9,LH_Limbic_OFC_1
X445,LH_SomMot_1,LH_Limbic_OFC_1
X446,LH_SomMot_2,LH_Limbic_OFC_1
X447,LH_SomMot_3,LH_Limbic_OFC_1
X448,LH_SomMot_4,LH_Limbic_OFC_1
X449,LH_SomMot_5,LH_Limbic_OFC_1
X450,LH_SomMot_6,LH_Limbic_OFC_1
X451,LH_DorsAttn_Post_1,LH_Limbic_OFC_1
X452,LH_DorsAttn_Post_2,LH_Limbic_OFC_1
X453,LH_DorsAttn_Post_3,LH_Limbic_OFC_1
X454,LH_DorsAttn_Post_4,LH_Limbic_OFC_1
X455,LH_DorsAttn_Post_5,LH_Limbic_OFC_1
X456,LH_DorsAttn_Post_6,LH_Limbic_OFC_1
X457,LH_DorsAttn_PrCv_1,LH_Limbic_OFC_1
X458,LH_DorsAttn_FEF_1,LH_Limbic_OFC_1
X459,LH_SalVentAttn_ParOper_1,LH_Limbic_OFC_1
X460,LH_SalVentAttn_FrOperIns_1,LH_Limbic_OFC_1
X461,LH_SalVentAttn_FrOperIns_2,LH_Limbic_OFC_1
X462,LH_SalVentAttn_PFCl_1,LH_Limbic_OFC_1
X463,LH_SalVentAttn_Med_1,LH_Limbic_OFC_1
X464,LH_SalVentAttn_Med_2,LH_Limbic_OFC_1
X465,LH_SalVentAttn_Med_3,LH_Limbic_OFC_1
X466,LH_Vis_1,LH_Limbic_TempPole_1
X467,LH_Vis_2,LH_Limbic_TempPole_1
X468,LH_Vis_3,LH_Limbic_TempPole_1
X469,LH_Vis_4,LH_Limbic_TempPole_1
X470,LH_Vis_5,LH_Limbic_TempPole_1
X471,LH_Vis_6,LH_Limbic_TempPole_1
X472,LH_Vis_7,LH_Limbic_TempPole_1
X473,LH_Vis_8,LH_Limbic_TempPole_1
X474,LH_Vis_9,LH_Limbic_TempPole_1
X475,LH_SomMot_1,LH_Limbic_TempPole_1
X476,LH_SomMot_2,LH_Limbic_TempPole_1
X477,LH_SomMot_3,LH_Limbic_TempPole_1
X478,LH_SomMot_4,LH_Limbic_TempPole_1
X479,LH_SomMot_5,LH_Limbic_TempPole_1
X480,LH_SomMot_6,LH_Limbic_TempPole_1
X481,LH_DorsAttn_Post_1,LH_Limbic_TempPole_1
X482,LH_DorsAttn_Post_2,LH_Limbic_TempPole_1
